timestamp,x,y,z
1766059903.384765,-3994.210079,-687.663630,-247.670239
1766059903.404766,-3993.924800,-689.263296,-247.823590
1766059903.424766,-3994.138502,-688.670424,-246.231785
1766059903.444766,-3993.883912,-690.054134,-246.163941
1766059903.464766,-3993.842447,-689.988260,-247.239486
1766059903.484766,-3994.060940,-689.291005,-246.521922
1766059903.504766,-3993.973798,-689.102558,-246.751075
1766059903.524765,-3994.107877,-688.759112,-246.105771
1766059903.544765,-3993.891285,-689.136268,-248.409497
1766059903.564765,-3994.253650,-688.159343,-246.177411
1766059903.584765,-3993.987679,-689.346624,-246.567058
1766059903.604765,-3993.649939,-690.341520,-249.055813
1766059903.624765,-3994.083133,-688.176718,-247.182304
1766059903.644766,-3994.123131,-688.372580,-246.185108
1766059903.664766,-3993.972233,-689.096743,-246.823658
1766059903.684766,-3994.325567,-687.303804,-246.445342
1766059903.704766,-3993.757139,-690.179826,-248.172471
1766059903.724766,-3994.198825,-688.542449,-246.288087
1766059903.744766,-3993.950030,-689.040942,-247.528977
1766059903.764766,-3994.000718,-689.318944,-246.627508
1766059903.784765,-3994.283230,-687.330933,-247.625170
1766059903.804765,-3993.832919,-690.154700,-248.173470
1766059903.824765,-3994.004024,-689.536510,-246.598374
1766059903.844765,-3993.980941,-689.193399,-247.499462
1766059903.864765,-3994.271735,-688.334359,-246.398969
1766059903.884765,-3994.155504,-688.552768,-246.945826
1766059903.904766,-3994.266334,-687.749164,-247.450003
1766059903.924766,-3994.492574,-686.576556,-246.225465
1766059903.944766,-3994.461219,-687.253069,-245.642487
1766059903.964766,-3994.544257,-686.828730,-245.376229
1766059903.984766,-3994.387942,-687.196194,-247.634207
1766059904.004766,-3994.145107,-688.466256,-247.186523
1766059904.024765,-3994.543735,-686.337029,-245.999638
1766059904.044765,-3994.053191,-689.340871,-245.733111
1766059904.064765,-3994.544908,-686.879050,-244.210122
1766059904.084765,-3994.222908,-688.673164,-245.239996
1766059904.104765,-3993.993310,-688.335789,-248.016827
1766059904.124765,-3993.614116,-691.299897,-246.786590
1766059904.144766,-3994.618571,-685.393977,-246.512164
1766059904.164766,-3994.282702,-688.179873,-244.495033
1766059904.184766,-3993.830655,-689.307119,-248.521610
1766059904.204766,-3994.416772,-687.912578,-244.224507
1766059904.224766,-3994.121787,-689.167392,-246.577414
1766059904.244766,-3994.440761,-687.373947,-245.806638
1766059904.264766,-3994.309119,-688.453285,-244.504122
1766059904.284765,-3994.174226,-688.183953,-246.448294
1766059904.304765,-3993.584056,-691.229009,-247.675115
1766059904.324765,-3993.822196,-690.061818,-246.246083
1766059904.344765,-3994.001366,-688.937869,-247.496530
1766059904.364765,-3993.942533,-689.849184,-246.227613
1766059904.384765,-3994.270774,-688.539673,-244.521324
1766059904.404766,-3994.172656,-688.315998,-247.063958
1766059904.424766,-3993.990937,-689.014417,-247.561632
1766059904.444766,-3993.886160,-689.291484,-247.564827
1766059904.464766,-3994.012280,-689.380682,-246.743681
1766059904.484766,-3993.945185,-689.515529,-246.679245
1766059904.504766,-3994.558528,-686.464474,-246.076944
1766059904.524765,-3994.033687,-689.255531,-246.584842
1766059904.544765,-3993.844432,-689.493392,-248.307292
1766059904.564765,-3993.836960,-690.320724,-246.220205
1766059904.584765,-3993.941886,-689.312407,-247.560573
1766059904.604765,-3994.251595,-687.734303,-246.931043
1766059904.624765,-3994.473357,-687.144675,-245.754386
1766059904.644766,-3993.689984,-691.129131,-247.575715
1766059904.664766,-3994.005574,-688.345973,-249.112174
1766059904.684766,-3994.205611,-687.553255,-247.786430
1766059904.704766,-3994.458847,-686.491164,-247.222670
1766059904.724766,-3994.166045,-687.395157,-249.449705
1766059904.744766,-3994.147210,-687.807914,-248.067982
1766059904.764766,-3993.996824,-689.250999,-246.564194
1766059904.784765,-3994.379900,-687.132215,-247.536042
1766059904.804765,-3994.013138,-689.143503,-247.553191
1766059904.824765,-3994.147174,-688.317979,-247.216891
1766059904.844765,-3993.924026,-689.775493,-247.037904
1766059904.864765,-3994.170822,-688.434835,-247.179818
1766059904.884765,-3994.519244,-686.932779,-245.577847
1766059904.904766,-3994.123301,-688.589877,-247.163309
1766059904.924766,-3994.418194,-687.470970,-245.339552
